Date,CHILLER_SIM.01_EA,CHILLER_SIM.02_EA,EMCC.POMPA_ODASI,SIM.CHILLER3,Interval Total
2022-03-01,57.3314400000963,51.8398289999459,66.8945299999978,18.3408530000597,194.4066520001
2022-03-02,599.454743999988,682.311791999964,582.216772,1616.72185199987,3480.70515999982
2022-03-03,599.454743999988,682.311791000189,623.968714000002,1616.72185300011,3522.45710200029
2022-03-04,599.454743999988,682.311791999964,623.968714000002,1616.72185199987,3522.45710199983
2022-03-05,599.454743999988,682.311790999956,623.968713999995,1616.72185300011,3522.45710200005
2022-03-06,599.454743999988,682.311791999964,623.968714000002,1616.72185300011,3522.45710300007
2022-03-07,599.454743999988,682.311790999956,623.968714000002,1616.72185199987,3522.45710099982
2022-03-08,599.454743999988,682.311791999964,623.968714999995,1616.72185300011,3522.45710400006
2022-03-09,599.454743999988,682.311791000189,623.968714000002,1616.72185199987,3522.45710100005
2022-03-10,599.454743999988,682.311791999964,623.968714000002,1616.72185300011,3522.45710300007
2022-03-11,599.45474299998,682.311790999956,623.968713999995,1616.72185199987,3522.4570999998
2022-03-12,599.454743999988,682.311791999964,623.968714000002,1616.72185300011,3522.45710300007
2022-03-13,599.454743999988,682.311790999956,623.968714000002,1616.72185300011,3522.45710200006
2022-03-14,599.454743999988,682.311791999964,623.968714999995,1616.72185199987,3522.45710299982
2022-03-15,599.454743999988,682.311791000189,623.968714000002,1616.72185300011,3522.45710200029
2022-03-16,599.454743999988,682.311791999964,623.968714000002,1616.72185199987,3522.45710199983
2022-03-17,599.454743999988,682.311790999956,623.968713999995,1616.72185300011,3522.45710200005
2022-03-18,599.454744000221,682.311791999964,623.968714000002,1616.72185299965,3522.45710299983
2022-03-19,599.454743999988,682.311790999956,623.968714000002,1616.72185200034,3522.45710100028
2022-03-20,599.454743999988,682.311791999964,623.968714999995,1616.72185299965,3522.45710399959
2022-03-21,599.454743999988,682.311792000197,623.968714000002,1616.72185200034,3522.45710200052
2022-03-22,599.454743999988,682.311790999956,623.968714000002,1616.72185299965,3522.45710199959
2022-03-23,599.454743999988,682.311791999964,623.968713999995,1616.72185200034,3522.45710200028
2022-03-24,599.454743999988,682.311790999956,623.968714000002,1616.72185300011,3522.45710200006
2022-03-25,599.454743999988,682.311791999964,623.968714000002,1616.72185299965,3522.4571029996
2022-03-26,599.454743999988,682.311790999956,623.968713999995,1616.72185200034,3522.45710100028
2022-03-27,599.45474299998,682.311792000197,623.96871500001,1616.72185299965,3522.45710299983
2022-03-28,129.049285999965,151.624841999961,138.659713999994,359.271523000207,778.605365000127
2022-03-29,597.373303000117,679.942653999897,621.802156000005,1611.10823500017,3510.22634800019
2022-03-30,599.454743999988,682.311790999956,623.968713999988,1616.72185199987,3522.4571009998
2022-03-31,597.373303999892,679.94265400013,621.802156000005,1611.1082349997,3510.22634899973
2022-04-01,599.454743999988,682.311790999956,623.968714000002,1616.72185300011,3522.45710200006
2022-04-02,599.454743999988,682.311791999964,623.968714999995,1616.72185199987,3522.45710299982
2022-04-03,593.210424000164,675.204376999987,617.469039999996,1599.88100000005,3485.7648410002
2022-04-04,597.373303999892,679.942653000122,621.802156000005,1611.10823500017,3510.22634800019
2022-04-05,593.210422999924,675.204376999987,617.469039999996,1599.88100000005,3485.76483999996
2022-04-06,599.454743999988,682.311791999964,623.968714000002,1616.72185300011,3522.45710300007
2022-04-07,595.291864000028,677.573515000055,619.635598000008,1605.49461699976,3497.99559399985
2022-04-08,599.454743999988,682.311790999956,623.968714000002,1616.72185300011,3522.45710200006
2022-04-09,599.454743999988,682.311791999964,623.968713999988,1616.72185300011,3522.45710300005
2022-04-10,599.454743999988,682.311790999956,623.96871500001,1616.72185199987,3522.45710199983
2022-04-11,595.291864000028,677.573515000055,619.635597999993,1605.494618,3497.99559500007
2022-04-12,599.454743999988,682.311791999964,623.968714000002,1616.72185199987,3522.45710199983
2022-04-13,597.373303000117,679.942653000122,621.802156000005,1611.10823500017,3510.22634700041
2022-04-14,591.128984000068,672.83523899992,615.302481999999,1594.26738299988,3473.53408799987
2022-04-15,595.291863999795,677.573515000055,619.635597999993,1605.49461700022,3497.99559400007
2022-04-16,599.454744000221,682.311791999964,623.968714000002,1616.72185299965,3522.45710299983
2022-04-17,586.966102999868,668.096963000018,610.969366000005,1583.04014699999,3449.07257899988
2022-04-18,597.373304000124,679.942652999889,621.802155999991,1611.10823500017,3510.22634800017
2022-04-19,597.373303999892,679.942653000122,621.802156000005,1611.10823500017,3510.22634800019
2022-04-20,599.454743999988,682.311791999964,623.968714000002,1616.72185299965,3522.4571029996
2022-04-21,599.454743999988,682.311790999956,623.968714999995,1616.72185200034,3522.45710200028
2022-04-22,599.454743999988,682.311791999964,623.968714000002,1616.72185300011,3522.45710300007
2022-04-23,595.291864000028,677.573515000055,619.635597999993,1605.49461699976,3497.99559399983
2022-04-24,599.45474299998,682.311791999964,623.968714000002,1616.72185300011,3522.45710200006
2022-04-25,599.454743999988,682.311790999956,623.968714000002,1616.72185300011,3522.45710200006
2022-04-26,597.373304000124,679.942653000122,621.802156000005,1611.1082349997,3510.22634799995
2022-04-27,593.210423999932,675.204376999987,617.469039999996,1599.88100000005,3485.76484099997
2022-04-28,599.454743999988,682.311791999964,623.968714999995,1616.72185199987,3522.45710299982
2022-04-29,597.373303999892,679.942653000122,621.802156000005,1611.10823500017,3510.22634800019
2022-04-30,599.454744000221,682.311791999964,623.968714000002,1616.72185300011,3522.4571030003
2022-05-01,599.454743999988,682.311790999956,623.968714000002,1616.72185199987,3522.45710099982
