Date,SIM-KS10 KLİMA,Interval Total
2022-03-01,86.6989829998929,86.6989829998929
2022-03-02,886.241230000043,886.241230000043
2022-03-03,886.241230000276,886.241230000276
2022-03-04,886.241231999593,886.241231999593
2022-03-05,886.241230000043,886.241230000043
2022-03-06,886.241230000043,886.241230000043
2022-03-07,886.241232000059,886.241232000059
2022-03-08,886.241229000036,886.241229000036
2022-03-09,886.241230999585,886.241230999585
2022-03-10,886.241231000517,886.241231000517
2022-03-11,886.24122999981,886.24122999981
2022-03-12,886.241230000043,886.241230000043
2022-03-13,886.241231000284,886.241231000284
2022-03-14,886.241230999818,886.241230999818
2022-03-15,886.24122999981,886.24122999981
2022-03-16,886.241230000043,886.241230000043
2022-03-17,886.241231000517,886.241231000517
2022-03-18,886.241230999585,886.241230999585
2022-03-19,886.24122999981,886.24122999981
2022-03-20,886.241231000284,886.241231000284
2022-03-21,886.241230000043,886.241230000043
2022-03-22,886.241231000051,886.241231000051
2022-03-23,886.241230999818,886.241230999818
2022-03-24,886.241230000276,886.241230000276
2022-03-25,886.24122999981,886.24122999981
2022-03-26,886.241230999818,886.241230999818
2022-03-27,886.241230999818,886.241230999818
2022-03-28,196.942495000316,196.942495000316
2022-03-29,883.164003999904,883.164003999904
2022-03-30,886.241231000284,886.241231000284
2022-03-31,883.164003999904,883.164003999904
2022-04-01,886.24122999981,886.24122999981
2022-04-02,886.241232000291,886.241232000291
2022-04-03,877.009549999377,877.009549999377
2022-04-04,883.164004000369,883.164004000369
2022-04-05,877.009551999858,877.009551999858
2022-04-06,886.241230000276,886.241230000276
2022-04-07,880.086776999524,880.086776999524
2022-04-08,886.241230000742,886.241230000742
2022-04-09,886.241230999818,886.241230999818
2022-04-10,886.241230999818,886.241230999818
2022-04-11,880.086777000222,880.086777000222
2022-04-12,886.241230999585,886.241230999585
2022-04-13,883.164004000137,883.164004000137
2022-04-14,873.932323999936,873.932323999936
2022-04-15,880.086779000005,880.086779000005
2022-04-16,886.241228000028,886.241228000028
2022-04-17,867.777872999897,867.777872999897
2022-04-18,883.164004000137,883.164004000137
2022-04-19,883.164003999904,883.164003999904
2022-04-20,886.241231000051,886.241231000051
2022-04-21,886.241230000043,886.241230000043
2022-04-22,886.241230999818,886.241230999818
2022-04-23,880.086777000455,880.086777000455
2022-04-24,886.241230999818,886.241230999818
2022-04-25,886.241230000043,886.241230000043
2022-04-26,883.164003999438,883.164003999438
2022-04-27,877.009551000549,877.009551000549
2022-04-28,886.241231000284,886.241231000284
2022-04-29,883.164003999671,883.164003999671
2022-04-30,886.241230000043,886.241230000043
2022-05-01,886.24122999981,886.24122999981
2022-05-02,886.241231000051,886.241231000051
2022-05-03,886.241231000051,886.241231000051
2022-05-04,886.241231000051,886.241231000051
2022-05-05,886.24122999981,886.24122999981
2022-05-06,883.164005000144,883.164005000144
2022-05-07,886.24122999981,886.24122999981
