Date,SIM-KS10 UDP,Interval Total
2022-03-01,227.768538999837,227.768538999837
2022-03-02,2390.96996800019,2390.96996800019
2022-03-03,2390.96996799996,2390.96996799996
2022-03-04,2390.96996899997,2390.96996899997
2022-03-05,2390.96996699995,2390.96996699995
2022-03-06,2390.96996799996,2390.96996799996
2022-03-07,2390.96996900043,2390.96996900043
2022-03-08,2390.96996799973,2390.96996799973
2022-03-09,2390.96996799996,2390.96996799996
2022-03-10,2390.96996699995,2390.96996699995
2022-03-11,2390.96996899997,2390.96996899997
2022-03-12,2390.96996800019,2390.96996800019
2022-03-13,2390.96996799996,2390.96996799996
2022-03-14,2390.96996699995,2390.96996699995
2022-03-15,2390.96996899997,2390.96996899997
2022-03-16,2390.96996799996,2390.96996799996
2022-03-17,2390.96996800019,2390.96996800019
2022-03-18,2390.96996899997,2390.96996899997
2022-03-19,2390.96996699995,2390.96996699995
2022-03-20,2390.96996799996,2390.96996799996
2022-03-21,2390.96996799973,2390.96996799973
2022-03-22,2390.96996900043,2390.96996900043
2022-03-23,2390.96996699949,2390.96996699949
2022-03-24,2390.96996800043,2390.96996800043
2022-03-25,2390.96996799973,2390.96996799973
2022-03-26,2390.96996899997,2390.96996899997
2022-03-27,2390.96996800043,2390.96996800043
2022-03-28,531.326658999547,531.326658999547
2022-03-29,2382.66798900021,2382.66798900021
2022-03-30,2390.96996799996,2390.96996799996
2022-03-31,2382.66798899975,2382.66798899975
2022-04-01,2390.96996800043,2390.96996800043
2022-04-02,2390.96996799973,2390.96996799973
2022-04-03,2366.06403200002,2366.06403200002
2022-04-04,2382.6679880002,2382.6679880002
2022-04-05,2366.06403099978,2366.06403099978
2022-04-06,2390.96996800019,2390.96996800019
2022-04-07,2374.36601,2374.36601
2022-04-08,2390.96996799973,2390.96996799973
2022-04-09,2390.96996800043,2390.96996800043
2022-04-10,2390.96996799996,2390.96996799996
2022-04-11,2374.36601,2374.36601
2022-04-12,2390.96996899974,2390.96996899974
2022-04-13,2382.66798799997,2382.66798799997
2022-04-14,2357.76205200027,2357.76205200027
2022-04-15,2374.36601,2374.36601
2022-04-16,2390.96996799996,2390.96996799996
2022-04-17,2341.15809399961,2341.15809399961
2022-04-18,2382.66798900045,2382.66798900045
2022-04-19,2382.66798799974,2382.66798799974
2022-04-20,2390.96996899997,2390.96996899997
2022-04-21,2390.96996800019,2390.96996800019
2022-04-22,2390.96996799996,2390.96996799996
2022-04-23,2374.36600999977,2374.36600999977
2022-04-24,2390.96996700019,2390.96996700019
2022-04-25,2390.9699690002,2390.9699690002
2022-04-26,2382.66798899975,2382.66798899975
2022-04-27,2366.06403000001,2366.06403000001
2022-04-28,2390.9699690002,2390.9699690002
2022-04-29,2382.66798799997,2382.66798799997
2022-04-30,2390.9699690002,2390.9699690002
2022-05-01,2390.9699679995,2390.9699679995
2022-05-02,2390.96996799996,2390.96996799996
2022-05-03,2390.96996800043,2390.96996800043
2022-05-04,2390.96996799996,2390.96996799996
2022-05-05,2390.96996799996,2390.96996799996
2022-05-06,2382.66798999999,2382.66798999999
2022-05-07,2390.96996699972,2390.96996699972
2022-05-08,2316.25215699989,2316.25215699989
2022-05-09,2390.96996700019,2390.96996700019
2022-05-10,2390.9699690002,2390.9699690002
2022-05-11,2390.96996799996,2390.96996799996
2022-05-12,2390.96996799996,2390.96996799996
2022-05-13,2382.66798899975,2382.66798899975
2022-05-14,2390.96996799996,2390.96996799996
2022-05-15,2390.96996800043,2390.96996800043
2022-05-16,2366.06403000001,2366.06403000001
2022-05-17,2390.96996899974,2390.96996899974
2022-05-18,2390.96996799996,2390.96996799996
2022-05-19,2390.96996800043,2390.96996800043
2022-05-20,2390.96996899974,2390.96996899974
2022-05-21,2390.96996700019,2390.96996700019
2022-05-22,2390.96996799996,2390.96996799996
2022-05-23,2390.9699679995,2390.9699679995
2022-05-24,2390.96996900067,2390.96996900067
2022-05-25,2390.96996699926,2390.96996699926
2022-05-26,2382.66798900021,2382.66798900021
2022-05-27,2390.9699690002,2390.9699690002
