Timestamp,PUE,I_KOMP1_HIZ,II_KOMP1_HIZ,III_KOMP1_HIZ,IV_KOMP1_HIZ,CH1_CIKIS_SIC,CH1_GIRIS_SIC,CH2_CIKIS_SIC,CH2_GIRIS_SIC,CH3_CIKIS_SIC,CH3_GIRIS_SIC,SENSOR_I_TEMP,SENSOR_II_TEMP,OUTLET_TEMP,OUTLET_HUMIDITY,KS10_UDP_TUKETIM,Mon,Tue,Wed,Thu,Fri,Sat,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,KS10_REAL_PUE,KS10_REAL_CH1_CIKIS_SIC,KS10_REAL_CH1_GIRIS_SIC,KS10_REAL_CH2_CIKIS_SIC,KS10_REAL_CH2_GIRIS_SIC,KS10_REAL_CH3_CIKIS_SIC,KS10_REAL_CH3_GIRIS_SIC,KS10_REAL_OUTLET_TEMP,KS10_REAL_OUTLET_HUMIDITY,KS10_REAL_KS10_UDP_TUKETIM,solved_for_first_timestamp
2023-10-18 08:00:00,1.498337560846994,36.099999427795424,36.099999427795424,36.099999427795424,36.099999427795424,24.248336256821624,27.303961691334504,20.46259675104795,72.32233698902546,17.0984100775241,17.902256355464242,16.505149959013792,17.75921105436824,16.7000007629395,17.0,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.79127669334412,20.7576,28.3282,14.8955,82.79192,17.7000007629395,17.1000003814697,16.7000007629395,17.0,4.625,1
2023-10-18 08:05:00,1.498337557517515,36.099999427795424,36.099999427795424,36.099999427795424,36.099999427795424,24.248336256821624,27.303961691334504,20.462596135216355,72.32233698902546,17.0984100775241,17.902256355464242,16.505149977960215,17.759211039695707,16.7000007629395,17.0,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.64360582828522,20.7576,28.3282,14.8955,82.79192,17.7000007629395,16.7999992370605,16.7000007629395,17.0,3.0,1
2023-10-18 08:10:00,1.488523775144794,34.857499408721935,34.857499408721935,34.857499408721935,34.857499408721935,24.248336256821624,27.303961691334504,20.46259551993036,72.32233698902546,17.0984100775241,17.902256355464242,16.77658140188911,17.970986377244564,17.0,17.2999992370605,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.77829790115356,20.9041,28.3282,14.8955,82.79192,17.7000007629395,17.3999996185303,17.0,17.2999992370605,4.375,1
2023-10-18 08:15:00,1.5018922493143334,37.00249941349031,37.00249941349031,37.00249941349031,37.00249941349031,24.248336256821624,27.303961691334504,20.46259490518949,72.32233698902546,17.0984100775241,17.902256355464242,16.793182262178473,17.966370422337608,17.0,17.2999992370605,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.6322033405304,20.9041,28.3282,14.8955,82.79192,17.7000007629395,17.3999996185303,17.0,17.2999992370605,2.75,1
2023-10-18 08:20:00,1.5026305392720238,39.70999937057497,36.099999427795424,36.099999427795424,36.099999427795424,24.248336256821624,27.303961691334504,20.46259429099325,72.32233698902546,17.0984100775241,17.902256355464242,16.788894502171726,17.96832669194747,17.0,17.2999992370605,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.67167019844055,20.9041,28.3282,14.8955,82.79192,17.7000007629395,17.1000003814697,17.0,17.2999992370605,4.5,1
2023-10-18 08:25:00,1.4745988339351794,32.559886827658126,32.559886827658126,32.559886827658126,32.559886827658126,24.248336256821624,27.303961691334504,20.46259367734117,72.32233698902546,17.0984100775241,17.902256355464242,16.758817704062242,17.975932003560008,17.0,17.2999992370605,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.62649583816528,20.9529,28.2793,14.8955,82.79192,17.7000007629395,17.1000003814697,17.0,17.2999992370605,2.75,1
2023-10-18 08:30:00,1.531222090888385,41.51499934196473,41.51499934196473,41.51499934196473,41.51499934196473,24.248336256821624,27.303961691334504,20.46259306423276,72.32233698902546,17.0984100775241,17.902256355464242,16.828159648713807,17.95666355871436,17.0,17.2999992370605,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.44528305530548,20.9529,28.2793,15.4955,79.39979,17.7000007629395,17.1000003814697,17.0,17.2999992370605,4.5,1
2023-10-18 08:35:00,1.496223498250944,36.099999427795424,36.099999427795424,36.099999427795424,36.099999427795424,24.248336256821624,27.303961691334504,20.46259245166754,72.32233698902547,17.0984100775241,17.902256355464242,16.786195602075193,17.96831235662168,17.0,17.2999992370605,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.64507341384888,20.9529,28.2793,15.4955,79.39979,17.7000007629395,17.1000003814697,17.0,17.2999992370605,3.0,1
2023-10-18 08:40:00,1.4889394577190496,34.294999456405655,34.294999456405655,37.72449940204623,34.294999456405655,24.248336256821624,27.303961691334504,20.46259183964503,72.32233698902547,17.0984100775241,17.902256355464242,16.771467352702516,17.974342189915255,17.0,17.2999992370605,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.69556963443756,21.0994,28.2305,15.4955,79.39979,17.7000007629395,17.1000003814697,17.0,17.2999992370605,4.0,1
2023-10-18 08:45:00,1.5058339484056034,34.84552444767954,38.7172493863106,38.7172493863106,38.7172493863106,24.248336256821624,27.303961691334504,20.462591228164747,72.32233698902547,17.0984100775241,17.902256355464242,16.803567545392223,17.962665802168033,17.0,17.2999992370605,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.8900842666626,21.0994,28.2305,15.4955,79.39979,17.7000007629395,17.1000003814697,17.0,17.2999992370605,3.125,1
